etrit berisha
orges shehi
alban hoxha
andi lila
elseid hysaj
frederic veseli
ansi agolli
mergim mavraj
naser aliji
arlind ajeti
ermir lenjani
lorik cana
migjen basha
ledian memushaj
burim kukeli
taulant xhaka
ergys kace
odise roshi
amir abrashi
armando sadiku
shkelzen gashi
sokol cikalleshi
bekim balaj
manuel neuer
bernd leno
marc-andre ter stegen
shkodran mustafi
jonas hector
benedikt howedes
mats hummels
jonathan tah
jerome boateng
joshua kimmich
sami khedira
bastian schweinsteiger
mesut ozil
andre schurrle
julian draxler
emre can
julian weigl
toni kroos
mario gotze
leroy sane
lukas podolski
thomas muller
mario gomez
joe hart
fraser forster
tom heaton
kyle walker
danny rose
gary cahill
chris smalling
nathaniel clyne
john stones
ryan bertrand
james milner
raheem sterling
adam lallana
jordan henderson
eric dier
jack wilshere
ross barkley
dele alli
harry kane
wayne rooney
jamie vardy
daniel sturridge
marcus rashford
robert almer
heinz lindner
ramazan ozcan
aleksandar dragovic
martin hinteregger
christian fuchs
markus suttner
sebastian prodl
kevin wimmer
florian klein
gyorgy garics
stefan ilsanker
david alaba
zlatko junuzovic
martin harnik
julian baumgartlinger
alessandro schopf
marcel sabitzer
jakob jantscher
marko arnautovic
rubin okotie
lukas hinterseer
marc janko
thibaut courtois
simon mignolet
jean-francois gillet
toby alderweireld
thomas vermaelen
jan vertonghen
jason denayer
thomas meunier
christian kabasele
jordan lukaku
laurent ciman
radja nainggolan
axel witsel
kevin de bruyne
marouane fellaini
eden hazard
yannick carrasco
mousa dembele
romelu lukaku
dries mertens
divock origi
christian benteke
michy batshuayi
ivan vargic
lovre kalinic
danijel subasic
sime vrsaljko
ivan strinic
vedran corluka
tin jedvaj
darijo srna
gordon schildenfeld
domagoj vida
ivan perisic
ivan rakitic
mateo kovacic
luka modric
marcelo brozovic
marko rog
ante coric
milan badelj
andrej kramaric
nikola kalinic
mario mandzukic
marko pjaca
duje cop
iker casillas
david de gea
sergio rico
cesar azpilicueta
gerard pique
marc bartra
hector bellerin
sergio ramos
juanfran
mikel san jose
jordi alba
sergio busquets
andres iniesta
koke
cesc fabregas
thiago alcantara
bruno soriano
david silva
alvaro morata
