Etrit Berisha
Orges Shehi
Alban Hoxha
Andi Lila
Elseid Hysaj
Frédéric Veseli
Ansi Agolli
Mërgim Mavraj
Naser Aliji
Arlind Ajeti
Ermir Lenjani
Lorik Cana
Migjen Basha
Ledian Memushaj
Burim Kukeli
Taulant Xhaka
Ergys Kaçe
Odise Roshi
Amir Abrashi
Armando Sadiku
Shkëlzen Gashi
Sokol Çikalleshi
Bekim Balaj
Manuel Neuer
Bernd Leno
Marc-André ter Stegen
Shkodran Mustafi
Jonas Hector
Benedikt Höwedes
Mats Hummels
Jonathan Tah
Jérôme Boateng
Joshua Kimmich
Sami Khedira
Bastian Schweinsteiger
Mesut Özil
André Schürrle
Julian Draxler
Emre Can
Julian Weigl
Toni Kroos
Mario Götze
Leroy Sané
Lukas Podolski
Thomas Müller
Mario Gomez
Joe Hart
Fraser Forster
Tom Heaton
Kyle Walker
Danny Rose
Gary Cahill
Chris Smalling
Nathaniel Clyne
John Stones
Ryan Bertrand
James Milner
Raheem Sterling
Adam Lallana
Jordan Henderson
Eric Dier
Jack Wilshere
Ross Barkley
Dele Alli
Harry Kane
Wayne Rooney
Jamie Vardy
Daniel Sturridge
Marcus Rashford
Robert Almer
Heinz Lindner
Ramazan Özcan
Aleksandar Dragović
Martin Hinteregger
Christian Fuchs
Markus Suttner
Sebastian Prödl
Kevin Wimmer
Florian Klein
György Garics
Stefan Ilsanker
David Alaba
Zlatko Junuzović
Martin Harnik
Julian Baumgartlinger
Alessandro Schöpf
Marcel Sabitzer
Jakob Jantscher
Marko Arnautović
Rubin Okotie
Lukas Hinterseer
Marc Janko
Thibaut Courtois
Simon Mignolet
Jean-François Gillet
Toby Alderweireld
Thomas Vermaelen
Jan Vertonghen
Jason Denayer
Thomas Meunier
Christian Kabasele
Jordan Lukaku
Laurent Ciman
Radja Nainggolan
Axel Witsel
Kevin De Bruyne
Marouane Fellaini
Eden Hazard
Yannick Carrasco
Mousa Dembélé
Romelu Lukaku
Dries Mertens
Divock Origi
Christian Benteke
Michy Batshuayi
Ivan Vargić
Lovre Kalinić
Danijel Subašić
Šime Vrsaljko
Ivan Strinić
Vedran Ćorluka
